state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Virginia (EV: None),2021-11-03 03:07:22.556000,Youngkin,McAuliffe,1560455,1502917,57538,-3085016,26123,25891," 25,891",0.39538835888918933,0.6046116411108107,2649,2855,0,0,0.5830666666666666,"{'Amherst': 3039, 'Powhatan': 5813, 'Prince William': 17268, 'Shenandoah': 3}",3085016
Virginia (EV: None),2021-11-03 03:02:42.640000,Youngkin,McAuliffe,1550218,1487263,62955,-3058893,803,800,    800,0.40874999999999995,0.59125,2646,2855,0,0,0.7725,{'Virginia Beach': 803},3058893
Virginia (EV: None),2021-11-03 03:00:42.508000,Youngkin,McAuliffe,1549891,1486790,63101,-3058090,2908,2897,"  2,897",0.6461857093545047,0.35381429064549536,2646,2855,0,0,0.7787,"{'Chesterfield': 1325, 'Virginia Beach': 1583}",3058090
Virginia (EV: None),2021-11-03 02:57:32.458000,Youngkin,McAuliffe,1548019,1485765,62254,-3055182,82882,82384," 82,384",0.1758715284521266,0.8241284715478734,2676,2855,0,0,0.8241284715478734,"{'Arlington': 837, 'Frederick': 366, 'Goochland': 284, 'Norfolk': 4808, 'Prince William': 58848, 'Virginia Beach': 17741}",3055182
Virginia (EV: None),2021-11-03 02:49:42.517000,Youngkin,McAuliffe,1533530,1417870,115660,-2972300,5034,4978,"  4,978",0.23603856970670956,0.7639614302932904,2665,2855,0,0,0.5699,"{'Chesterfield': 1468, 'Norfolk': 3566}",2972300
Virginia (EV: None),2021-11-03 02:45:12.544000,Youngkin,McAuliffe,1532355,1414067,118288,-2967266,14777,14614," 14,614",0.42130833447379223,0.5786916655262078,2667,2855,0,0,0.5202333333333333,"{'Chesapeake': 10536, 'Franklin': 864, 'Stafford': 4354}",2967266
Virginia (EV: None),2021-11-03 02:41:22.456000,Youngkin,McAuliffe,1526198,1405610,120588,-2952489,56364,56178," 56,178",0.5352629143080921,0.46473708569190786,2662,2855,0,0,0.46473708569190786,{'Virginia Beach': 56364},2952489
Virginia (EV: None),2021-11-03 02:36:32.389000,Youngkin,McAuliffe,1496128,1379502,116626,-2896125,79466,78749," 78,749",0.3972494888823985,0.6027505111176015,2628,2855,0,0,0.6027505111176015,"{'Albemarle': 1559, 'Alexandria': 3831, 'Chesapeake': 36104, 'Chesterfield': 3763, 'Franklin': 2084, 'Goochland': 1481, 'Prince William': 3782, 'Richmond City': 22534, 'Rockbridge': 2824, 'Suffolk': 1764, 'Warren': 9}",2896125
Virginia (EV: None),2021-11-03 02:23:02.567000,Youngkin,McAuliffe,1464845,1332036,132809,-2816659,972,990,    990,0.0,1.0,2599,2855,0,0,0.6674333333333333,{'Spotsylvania': 972},2816659
Virginia (EV: None),2021-11-03 02:21:22.456000,Youngkin,McAuliffe,1464845,1331046,133799,-2815687,117880,117017,"117,017",0.34389874975430923,0.6561012502456908,2598,2855,0,0,0.6561012502456908,"{'Albemarle': 1815, 'Alexandria': 18841, 'Arlington': 485, 'Caroline': 5, 'Charlottesville': 4529, 'Chesapeake': 1359, 'Chesterfield': 1395, 'Dickenson': 217, 'Fairfax': 51206, 'Lynchburg': 2824, 'Norfolk': 1915, 'Prince William': 1069, 'Richmond City': 8555, 'Roanoke': 1100, 'Roanoke City': 8075, 'Stafford': 12765, 'Virginia Beach': 1994}",2815687
Virginia (EV: None),2021-11-03 02:04:52.548000,Youngkin,McAuliffe,1424603,1254271,170332,-2697807,39205,38860," 38,860",0.47099845599588264,0.5290015440041174,2527,2855,0,0,0.5290015440041174,"{'Alexandria': 3648, 'Amherst': 611, 'Arlington': 3037, 'Charlottesville': 2067, 'Chesapeake': 3388, 'Hanover': 16339, 'Prince William': 1945, 'Richmond City': 3329, 'Roanoke': 1840, 'Roanoke City': 3001}",2697807
Virginia (EV: None),2021-11-03 02:03:52.525000,Youngkin,McAuliffe,1406300,1233714,172586,-2658602,0,0,      0,0,0,2505,2855,0,-1,,{},2658602
